,NOC,Name,Year,Sport,Medal
3,DEN,Edgar Lindenau Aabye,1900,Tug-Of-War,Gold
37,FIN,Arvo Ossian Aaltonen,1920,Swimming,Bronze
38,FIN,Arvo Ossian Aaltonen,1920,Swimming,Bronze
40,FIN,Juhamatti Tapio Aaltonen,2014,Ice Hockey,Bronze
41,FIN,Paavo Johannes Aaltonen,1948,Gymnastics,Bronze
42,FIN,Paavo Johannes Aaltonen,1948,Gymnastics,Gold
44,FIN,Paavo Johannes Aaltonen,1948,Gymnastics,Gold
48,FIN,Paavo Johannes Aaltonen,1948,Gymnastics,Gold
50,FIN,Paavo Johannes Aaltonen,1952,Gymnastics,Bronze
60,NOR,Kjetil Andr Aamodt,1992,Alpine Skiing,Gold
61,NOR,Kjetil Andr Aamodt,1992,Alpine Skiing,Bronze
63,NOR,Kjetil Andr Aamodt,1994,Alpine Skiing,Silver
64,NOR,Kjetil Andr Aamodt,1994,Alpine Skiing,Bronze
67,NOR,Kjetil Andr Aamodt,1994,Alpine Skiing,Silver
73,NOR,Kjetil Andr Aamodt,2002,Alpine Skiing,Gold
76,NOR,Kjetil Andr Aamodt,2002,Alpine Skiing,Gold
78,NOR,Kjetil Andr Aamodt,2006,Alpine Skiing,Gold
79,NOR,Ragnhild Margrethe Aamodt,2008,Handball,Gold
86,NOR,Alf Lied Aanning,1920,Gymnastics,Silver
91,NED,Willemien Aardenburg,1988,Hockey,Bronze
92,NED,Pepijn Aardewijn,1996,Rowing,Silver
105,NOR,Ann Kristin Aarnes,1996,Football,Bronze
106,NOR,Karl Jan Aas,1920,Gymnastics,Silver
110,NOR,Roald Edgar Aas,1952,Speed Skating,Bronze
113,NOR,Roald Edgar Aas,1960,Speed Skating,Gold
117,NOR,Thomas Valentin Aas,1912,Sailing,Gold
150,FRA,Ren Abadie,1956,Cycling,Gold
158,ITA,Giovanni Abagnale,2016,Rowing,Bronze
159,ESP,Jos Luis Abajo Gmez,2008,Fencing,Bronze
161,AZE,Patimat Abakarova,2016,Taekwondo,Bronze
163,RUS,Mariya Vasilyevna Abakumova (-Tarabina),2008,Athletics,Silver
172,BLR,Aleksey Aleksandrovich Abalmasov,2008,Canoeing,Gold
173,FRA,Luc Abalo,2008,Handball,Gold
174,FRA,Luc Abalo,2012,Handball,Gold
175,FRA,Luc Abalo,2016,Handball,Silver
178,CMR,Jouan Patrice Abanda Etong,2000,Football,Gold
182,ESP,Jos Mara Abarca Plotas,1996,Water Polo,Gold
186,USA,Stephen Anthony Abas,2004,Wrestling,Silver
188,ESP,Alejandro Abascal Garca,1980,Sailing,Gold
191,ESP,Jos Manuel Abascal Gmez,1984,Athletics,Bronze
195,RUS,Tamila Rashidovna Abasova,2004,Cycling,Silver
200,FRA,Jol Marc Abati,2008,Handball,Gold
208,HUN,Pter Abay,1992,Fencing,Silver
210,HUN,Oszkr Abay-Nemes,1936,Swimming,Bronze
214,ITA,Silvano Abba,1936,Modern Pentathlon,Bronze
218,ITA,Agostino Abbagnale,1988,Rowing,Gold
219,ITA,Agostino Abbagnale,1996,Rowing,Gold
220,ITA,Agostino Abbagnale,2000,Rowing,Gold
221,ITA,Carmine Abbagnale,1984,Rowing,Gold
222,ITA,Carmine Abbagnale,1988,Rowing,Gold
223,ITA,Carmine Abbagnale,1992,Rowing,Silver
226,ITA,Giuseppe Abbagnale,1984,Rowing,Gold
227,ITA,Giuseppe Abbagnale,1988,Rowing,Gold
228,ITA,Giuseppe Abbagnale,1992,Rowing,Silver
268,GRE,"George ""Ioannis"" Abbot",1906,Football,Bronze
274,AUS,"Desmond ""Des"" Abbott",2008,Hockey,Bronze
278,USA,Jeremy Abbott,2014,Figure Skating,Bronze
283,USA,Margaret Ives Abbott (-Dunne),1900,Golf,Gold
286,USA,Monica Cecilia Abbott,2008,Softball,Silver
311,USA,Nia Nicole Abdallah,2004,Taekwondo,Silver
450,IRI,Saeid Morad Abdevali,2016,Wrestling,Bronze
476,CAN,Reema Abdo,1984,Swimming,Bronze
524,PAK,Lala Abdul Rashid,1960,Hockey,Gold
525,PAK,Muhammad Abdul Rashid,1964,Hockey,Silver
550,URS,Zagalav Abdulbekovich Abdulbekov,1972,Wrestling,Gold
587,UZB,Mukhammad Kadyr Abdullayev,2000,Boxing,Gold
590,AZE,Namiq Yadulla Abdullayev,1996,Wrestling,Silver
591,AZE,Namiq Yadulla Abdullayev,2000,Wrestling,Gold
609,USA,Julius Shareef Abdur-Rahim,2000,Basketball,Gold
