,Country Name,Country Code,Value
17,Antigua and Barbuda,ATG,1070.769116
35,Argentina,ARG,1916.504041
53,Bahamas,BHS,1756.144065
71,Barbados,BRB,1343.2317269999999
89,Belize,BLZ,481.02822360000005
107,Bolivia Plurinational States of ,BOL,491.6770671
125,Brazil,BRA,1472.2310519999999
143,Canada,CAN,4928.62781
161,Chile,CHL,2228.5568940000003
179,Colombia,COL,1039.159837
197,Democratic Republic of the Congo,COD,37.33223253
215,Costa Rica,CRI,1262.164313
233,Dominica,DMA,656.6714129
251,Dominican Republic,DOM,985.7292205
269,Ecuador,ECU,958.8576874
287,El Salvador,SLV,582.7357833
305,Grenada,GRD,721.0804283
323,Guatemala,GTM,474.8486266
341,Guyana,GUY,405.0777478
359,Haiti,HTI,146.149269
377,Honduras,HND,394.7596108
395,Jamaica,JAM,542.8857809
413,Republic of Korea,KOR,2980.158175
431,The Republic of North Macedonia,MKD,926.9176381000001
449,Mexico,MEX,1035.585115
467,Republic of Moldova,MDA,476.7314228
485,Nicaragua,NIC,506.154983
503,New Zealand,NZL,3767.513455
521,Panama,PAN,1794.809697
539,Paraguay,PRY,866.6269451999999
557,Peru,PER,681.2345853999999
575,Papua New Guinea,PNG,103.8995909
593,Saint Kitts and Nevis,KNA,1442.132124
611,Saint Lucia,LCA,662.3132072999999
629,Saint Vincent and the Grenadines,VCT,528.0722754
647,Suriname,SUR,946.3764792000002
665,United Republic of Tanzania,TZA,104.3139887
683,Trinidad and Tobago,TTO,2205.806678
701,United Arab Emirates,ARE,2468.549423
719,United Kingdom,GBR,4338.372553
737,United States of America,USA,10246.13821
755,Uruguay,URY,2101.911413
773,Venezuela (Bolivarian Republic of),VEN,141.0221937
791,Egypt,EGY,613.8087922999999
809,Ethiopia,ETH,66.66216244
845,Viet Nam,VNM,375.64325310000004
863,Algeria,DZA,974.8077483
881,Angola,AGO,185.8540439
899,Benin,BEN,84.65098835
917,Botswana,BWA,1044.2972949999998
935,Burkina Faso,BFA,129.0642729
953,Burundi,BDI,59.18866825
971,Cameroon,CMR,173.862339
989,Cabo Verde Republic of,CPV,357.0717106
1007,Central African Republic,CAF,41.98936796
1025,Chad,TCD,87.29854435
1043,Comoros,COM,123.1793977
1061,Congo,COG,164.8262805
1079,Côte d'Ivoire,CIV,175.6611253
1097,Equatorial Guinea,GNQ,758.9349632
1115,Estonia,EST,2153.339388
1133,France,FRA,5011.200271
1151,Gabon,GAB,499.6129958000001
1169,Germany,DEU,5922.63824
1187,Greece,GRC,2295.328441
1205,Guinea,GIN,89.17004995
1223,Kazakhstan,KAZ,820.3520952
1241,Lebanon,LBN,1185.3271029999999
1259,Lesotho,LSO,265.5403927
1277,Luxembourg,LUX,5956.483982
1295,Madagascar,MDG,85.48757513
1313,Maldives,MDV,1506.938538
1331,Marshall Islands,MHL,709.6755954
1349,Mauritania,MRT,170.1493429
1367,Morocco,MAR,438.09128949999996
1385,Myanmar,MMR,287.64075269999995
1403,Niger,NER,78.85164716
1421,Russian Federation,RUS,1404.216678
1439,San Marino,SMR,4369.724271
1457,Serbia,SRB,1382.162654
1475,Seychelles,SYC,1485.473784
1493,Sudan,SDN,313.6807263
1501,Zimbabwe,ZWE,201.0454628
1516,Timor-Leste,TLS,263.8439079
1534,Tuvalu,TUV,694.3285718999999
1552,Zambia,ZMB,180.27066440000002
1570,Bahrain,BHR,2265.281223
1588,Denmark,DNK,5509.995706000001
1606,Djibouti,DJI,117.18908529999999
1624,Indonesia,IDN,367.9414156
1642,Iran,IRN,1748.395697
1660,Japan,JPN,4563.457083
1678,Kiribati,KIR,234.9273958
1696,Latvia,LVA,1682.3442059999998
1714,Liberia,LBR,104.6710417
1732,Norway,NOR,6518.87278
1750,Oman,OMN,1590.843324
1768,Portugal,PRT,2917.355621
1786,Sao Tome and Principe,STP,209.2372869
1804,Solomon Islands,SLB,115.23815490000001
1822,Sri Lanka,LKA,503.56325899999996
1840,Switzerland,CHE,8216.957233
1858,Tonga,TON,335.3079482
1876,Ukraine,UKR,584.5913737000001
1912,Andorra,AND,5237.241923
1930,Armenia,ARM,1001.069032
1948,Austria,AUT,5617.3962520000005
1966,Azerbaijan,AZE,1163.8619019999999
1984,Belarus,BLR,1129.1133439999999
2002,Belgium,BEL,5119.074302
2020,Bosnia and Herzegovina,BIH,1172.36744
2038,Bulgaria,BGR,1689.687193
2056,Croatia,HRV,1772.481722
2074,Cuba,CUB,2485.8106589999998
2092,Cyprus,CYP,2430.176081
2110,Eritrea,ERI,59.27363868
2128,Fiji,FJI,322.7597165
2146,Finland,FIN,4255.223929
2164,Gambia,GMB,55.76596766
2182,Georgia,GEO,773.2670194
2200,Ghana,GHA,146.8668948
2218,Guinea-Bissau,GNB,123.2869345
2236,Hungary,HUN,1979.403291
2254,Ireland,IRL,5544.677975
2272,Israel,ISR,3014.647102
2290,Jordan,JOR,756.6592314
2308,Kuwait,KWT,3796.7145729999997
2326,Lao People's Democratic Republic,LAO,177.933737
2344,Lithuania,LTU,2132.609247
2362,Mali,MLI,84.16295341
2380,Micronesia (Federated States of),FSM,493.2095438999999
2398,Mongolia,MNG,518.1306318
2416,Nepal,NPL,150.0734272
2434,Philippines,PHL,371.74235269999997
2452,Poland,POL,1958.167625
2470,Romania,ROU,1367.79189
2488,Samoa,WSM,363.9580543
2506,Senegal,SEN,143.0919485
2524,Singapore,SGP,4269.958267
2542,Slovakia,SVK,2184.202769
2560,South Africa,ZAF,1097.819211
2578,Eswatini,SWZ,600.1167331
2596,Sweden,SWE,5699.606648
2614,Thailand,THA,670.8770568
2632,Tunisia,TUN,863.2907399000001
2650,Turkey,TUR,1180.641786
2668,Uganda,UGA,122.6727933
2686,Bangladesh,BGD,94.30201558
2704,Bhutan,BTN,290.42370619999997
2722,Czech Republic,CZE,2753.383861
2740,Iceland,ISL,4721.426573
2758,India,IND,253.32240860000002
2776,Malaysia,MYS,1138.96409
2794,Mozambique,MOZ,61.77706234
2812,Nauru,NRU,1309.593341
2830,Spain,ESP,3468.692136
2848,Tajikistan,TJK,231.423595
2866,Australia,AUS,4816.153875999999
2884,Brunei Darussalam,BRN,1874.95139
2902,Cambodia,KHM,238.1826787
2920,China,CHN,841.1148925000001
2938,Cook Islands,COK,691.9227434
2956,Italy,ITA,3619.698204
2974,Kenya,KEN,158.1556494
2992,Kyrgyzstan,KGZ,241.24864010000002
3010,Malawi,MWI,114.819004
3028,Malta,MLT,3943.0959420000004
3046,Mauritius,MUS,1278.011452
3064,Monaco,MCO,2991.06144
3082,Namibia,NAM,895.3596064
3100,Netherlands,NLD,5513.100092000001
3118,Nigeria,NGA,221.09500419999998
3136,Pakistan,PAK,160.55844419999997
3154,Palau,PLW,1777.799939
3172,Qatar,QAT,3354.377955
3190,Rwanda,RWA,134.3714962
3208,Sierra Leone,SLE,205.3612993
3226,Slovenia,SVN,2960.593226
3244,Togo,TGO,103.73031970000001
3262,Turkmenistan,TKM,1249.625595
3280,Uzbekistan,UZB,447.872198
3298,Vanuatu,VUT,110.4313923
3299,South Sudan,SSD,175.7673126
